stock_code,start_date,sw_level_1,sw_level_2,sw_level_3
000048,1994-11-01,农林牧渔,,
000048,2011-01-10,农林牧渔,,
000048,2021-07-30,房地产,房地产开发,住宅开发
000049,1995-03-20,房地产,房地产开发,住宅开发
000049,2007-07-02,基础化工,,
000049,2011-10-10,电子,其他电子Ⅱ,其他电子Ⅲ
000049,2013-01-01,电子,,
000049,2021-07-30,电力设备,电池,锂电池
000050,1995-03-15,电子,,
000050,2010-01-01,电子,光学光电子,面板
000055,1996-04-15,钢铁,,
000055,2007-07-02,综合,综合Ⅱ,综合Ⅲ
000055,2011-10-10,,,
000055,2012-07-02,,,
000055,2014-01-01,建筑装饰,专业工程,其他专业工程
000055,2021-07-30,建筑材料,装修建材,其他建材
000056,1996-07-08,商贸零售,,
000056,2012-07-02,商贸零售,,
000056,2014-01-01,商贸零售,,
000056,2014-07-01,房地产,房地产开发,住宅开发
000056,2021-07-30,房地产,房地产服务,物业管理
000058,1996-12-26,电子,光学光电子,面板
000058,2011-10-10,商贸零售,,
000058,2014-01-01,商贸零售,,
000058,2017-06-29,商贸零售,,
000058,2021-07-30,商贸零售,一般零售,商业物业经营
000059,1997-01-30,基础化工,,
000059,2010-01-01,基础化工,,
000059,2021-07-30,石油石化,炼化及贸易,炼油化工
000060,1997-01-23,有色金属,,
000060,2007-06-30,有色金属,,
000060,2014-01-01,有色金属,工业金属,铅锌
000061,1997-01-10,农林牧渔,,
000061,2013-07-01,商贸零售,贸易Ⅱ,贸易Ⅲ
000061,2014-01-01,商贸零售,,
000061,2021-07-30,商贸零售,一般零售,商业物业经营
000062,1997-01-30,家用电器,黑色家电,其他黑色家电
000062,2009-06-01,电子,其他电子Ⅱ,其他电子Ⅲ
000062,2011-10-10,商贸零售,,
000062,2014-01-01,商贸零售,,
000062,2017-06-29,电子,其他电子Ⅱ,其他电子Ⅲ
000063,1997-11-18,,,
000063,2008-06-02,,,
000063,2014-01-01,通信,,
000063,2021-07-30,通信,通信设备,通信网络设备及器件
000065,1998-06-05,,,
000065,2007-07-02,,,
000065,2011-10-10,,,
000065,2014-01-01,建筑装饰,专业工程,国际工程
000066,1997-06-26,,,
000066,2014-01-01,计算机,,
000066,2021-07-30,计算机,计算机设备,其他计算机设备
000068,1997-06-11,电子,光学光电子,面板
000068,2013-01-01,综合,综合Ⅱ,综合Ⅲ
000068,2017-06-29,公用事业,,
000068,2021-07-30,环保,环境治理,综合环境治理
000069,1997-09-10,社会服务,,
000069,2008-01-02,房地产,房地产开发,住宅开发
000069,2021-07-30,房地产,房地产开发,商业地产
000070,2000-04-24,电子,光学光电子,面板
000070,2011-10-10,,,
000070,2014-01-01,通信,,
000070,2021-07-30,通信,通信设备,通信线缆及配套
000078,1998-12-18,医药生物,,
000078,2017-06-29,医药生物,,
000078,2021-07-30,医药生物,医药商业,医药流通
000088,1997-07-28,交通运输,,
000088,2021-07-30,交通运输,铁路公路,高速公路
000088,2021-11-12,交通运输,航运港口,港口
000089,1998-04-20,交通运输,,
000089,2021-07-30,交通运输,航空机场,机场
000090,1999-07-21,,,
000090,2006-09-01,房地产,房地产开发,住宅开发
000096,2000-07-24,基础化工,,
000096,2021-07-30,石油石化,炼化及贸易,油品石化贸易
000099,2000-07-31,交通运输,,
000099,2021-07-30,交通运输,航空机场,航空运输
000100,2004-01-29,,,
000100,2007-07-02,家用电器,黑色家电,彩电
000100,2019-04-22,电子,光学光电子,面板
000150,2000-08-07,,,
000150,2007-07-02,房地产,房地产开发,住宅开发
000150,2015-07-01,医药生物,,
000150,2021-07-30,医药生物,医疗服务,医院
000151,2000-09-06,,,
